,nombre_proyecto,moneda,precio,tamaño,dormitorios,baños,unidades_disp,link
29,Siena Miguel Comas,UF,13635,97 a 138 m² útiles,2 a 4 dormitorios,3 a 4 baños,8 unidades disponibles,https://www.portalinmobiliario.com/MLC-1568352352-siena-miguel-comas-_JM#position=30&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
30,Edificio Suecia 2345,UF,7040,62 a 105 m² útiles,2 a 3 dormitorios,2 a 3 baños,8 unidades disponibles,https://www.portalinmobiliario.com/MLC-1374673237-edificio-suecia-2345-_JM#position=31&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
31,Edificio Capitanes,UF,7626,60 a 92 m² útiles,2 a 3 dormitorios,2 a 3 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-2260291586-edificio-capitanes-_JM#position=32&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
32,Moller Edificio San Damián de Vitacura II,UF,22931,241 m² útiles,4 dormitorios,5 baños,2 unidades disponibles,https://www.portalinmobiliario.com/MLC-1592322338-moller-edificio-san-damian-de-vitacura-ii-_JM#position=33&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
33,Ciudad del Rosal,UF,3590,51 a 76 m² útiles,2 a 3 dormitorios,2 baños,14 unidades disponibles,https://www.portalinmobiliario.com/MLC-1524749838-ciudad-del-rosal-_JM#position=34&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
34,Edificio Quartz,UF,3299,31 a 47 m² útiles,1 a 2 dormitorios,1 a 2 baños,24 unidades disponibles,https://www.portalinmobiliario.com/MLC-1433399291-edificio-quartz-_JM#position=35&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
35,Andes Ñuñoa,UF,3785,32 a 49 m² útiles,1 a 2 dormitorios,1 a 2 baños,85 unidades disponibles,https://www.portalinmobiliario.com/MLC-1524774372-andes-nunoa-_JM#position=36&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
36,UNIQ,UF,11328,80 a 137 m² útiles,2 a 3 dormitorios,2 a 3 baños,23 unidades disponibles,https://www.portalinmobiliario.com/MLC-1610680782-uniq-_JM#position=37&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
37,Edificio Alto Balaguer,UF,5015,70 a 100 m² útiles,2 a 3 dormitorios,2 baños,31 unidades disponibles,https://www.portalinmobiliario.com/MLC-1076085302-edificio-alto-balaguer-_JM#position=38&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
38,Altavista Chicureo La Reserva,UF,7490,116 a 124 m² útiles,3 a 4 dormitorios,3 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1082117565-altavista-chicureo-la-reserva-_JM#position=39&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
39,Arturo Prat 1822,UF,2438,32 a 62 m² útiles,1 a 3 dormitorios,1 a 2 baños,183 unidades disponibles,https://www.portalinmobiliario.com/MLC-2137515112-arturo-prat-1822-_JM#position=40&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
40,Edificio Costa,UF,4417,54 a 76 m² útiles,2 a 3 dormitorios,2 baños,25 unidades disponibles,https://www.portalinmobiliario.com/MLC-1017385915-edificio-costa-_JM#position=41&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
41,Colón 5751,UF,10396,102 a 126 m² útiles,3 dormitorios,3 baños,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-2109059590-colon-5751-_JM#position=42&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
42,Plaza Reloncaví,UF,2546,30 a 83 m² útiles,1 a 3 dormitorios,1 a 2 baños,10 unidades disponibles,https://www.portalinmobiliario.com/MLC-1420148017-plaza-reloncavi-_JM#position=43&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
43,Alonso de Ercilla,UF,2950,31 a 71 m² útiles,1 a 3 dormitorios,1 a 2 baños,49 unidades disponibles,https://www.portalinmobiliario.com/MLC-1378383591-alonso-de-ercilla-_JM#position=44&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
44,Edificio Suecia,UF,7646,64 a 93 m² útiles,2 a 3 dormitorios,2 a 3 baños,5 unidades disponibles,https://www.portalinmobiliario.com/MLC-2260253632-edificio-suecia-_JM#position=45&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
45,Condominio Ciudad del Rosal E2,UF,3245,50 a 77 m² útiles,2 a 3 dormitorios,2 baños,28 unidades disponibles,https://www.portalinmobiliario.com/MLC-1957695950-condominio-ciudad-del-rosal-e2-_JM#position=46&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
46,Edificio Vivaceta,UF,2138,28 a 44 m² útiles,1 a 3 dormitorios,1 baño,32 unidades disponibles,https://www.portalinmobiliario.com/MLC-2224245916-edificio-vivaceta-_JM#position=47&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
47,Pórtico Tabancura,UF,15310,118 a 145 m² útiles,3 a 4 dormitorios,3 baños,5 unidades disponibles,https://www.portalinmobiliario.com/MLC-1560725570-portico-tabancura-_JM#position=48&search_layout=grid&type=item&tracking_id=00304114-0689-4f93-afaf-311bc8e98884
0,Edificio Centro Chillán III,UF,2012,22 a 71 m² útiles,1 a 3 dormitorios,1 a 2 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1408941547-edificio-centro-chillan-iii-_JM#position=1&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
1,Ciudad Lyon,UF,5281,40 a 66 m² útiles,1 a 2 dormitorios,1 a 2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1893923224-ciudad-lyon-_JM#position=2&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
2,Vicuña Mackenna 1432,UF,2891,31 a 60 m² útiles,1 a 2 dormitorios,1 a 2 baños,5 unidades disponibles,https://www.portalinmobiliario.com/MLC-1569231574-vicuna-mackenna-1432-_JM#position=3&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
3,Edificio Portal Baquedano,UF,2238,25 a 60 m² útiles,1 a 3 dormitorios,1 a 2 baños,116 unidades disponibles,https://www.portalinmobiliario.com/MLC-2044678240-edificio-portal-baquedano-_JM#position=4&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
4,Terra Sol III,UF,2479,31 a 66 m² útiles,1 a 3 dormitorios,1 a 2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1377870807-terra-sol-iii-_JM#position=5&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
5,Edificio El Avellano,UF,12390,99 a 139 m² útiles,1 a 3 dormitorios,3 a 4 baños,14 unidades disponibles,https://www.portalinmobiliario.com/MLC-1374674747-edificio-el-avellano-_JM#position=6&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
6,Edificio Praga,UF,17400,117 a 150 m² útiles,2 a 4 dormitorios,3 a 4 baños,14 unidades disponibles,https://www.portalinmobiliario.com/MLC-1610729106-edificio-praga-_JM#position=7&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
7,Art City,UF,2500,47 a 50 m² útiles,2 dormitorios,2 baños,4 unidades disponibles,https://www.portalinmobiliario.com/MLC-1377788947-art-city-_JM#position=8&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
8,Edificio Doña Gabriela,UF,2900,49 a 139 m² útiles,3 a 4 dormitorios,2 a 4 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1444130001-edificio-dona-gabriela-_JM#position=9&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
9,Edificio Alto Pajaritos,UF,3751,54 a 68 m² útiles,2 a 3 dormitorios,2 baños,12 unidades disponibles,https://www.portalinmobiliario.com/MLC-1599918880-edificio-alto-pajaritos-_JM#position=10&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
10,Jardines de Ramón Cruz,UF,3188,44 a 77 m² útiles,1 a 3 dormitorios,1 a 2 baños,43 unidades disponibles,https://www.portalinmobiliario.com/MLC-1374513424-jardines-de-ramon-cruz-_JM#position=11&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
11,Edificio Conexión Independencia,UF,2060,29 a 51 m² útiles,1 a 2 dormitorios,1 a 2 baños,10 unidades disponibles,https://www.portalinmobiliario.com/MLC-1576929146-edificio-conexion-independencia-_JM#position=12&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
12,Condominio Terramar,UF,3700,47 a 75 m² útiles,2 a 3 dormitorios,1 a 2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1600028660-condominio-terramar-_JM#position=13&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
13,Edificio Santa Elena 1670,UF,2853,32 a 51 m² útiles,1 a 2 dormitorios,1 a 2 baños,4 unidades disponibles,https://www.portalinmobiliario.com/MLC-975111228-edificio-santa-elena-1670-_JM#position=14&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
14,Ciudad Cerrillos,UF,2202,27 a 45 m² útiles,1 a 2 dormitorios,1 a 2 baños,8 unidades disponibles,https://www.portalinmobiliario.com/MLC-1416030659-ciudad-cerrillos-_JM#position=15&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
15,Edificio Porta Pinzón,UF,12990,145 m² útiles,1 a 3 privados,3 baños,3 unidades disponibles,https://www.portalinmobiliario.com/MLC-1588236612-edificio-porta-pinzon-_JM#position=16&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
16,Convet Vicuña Mackenna 8656,UF,2700,31 a 97 m² útiles,1 a 3 dormitorios,1 a 3 baños,129 unidades disponibles,https://www.portalinmobiliario.com/MLC-1599992660-convet-vicuna-mackenna-8656-_JM#position=17&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
17,Edificio Quinta Radal,UF,2800,36 a 80 m² útiles,2 a 4 dormitorios,1 a 2 baños,28 unidades disponibles,https://www.portalinmobiliario.com/MLC-1456451263-edificio-quinta-radal-_JM#position=18&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
18,Edificio Lía Aguirre,UF,2334,28 a 54 m² útiles,1 a 2 dormitorios,1 a 2 baños,15 unidades disponibles,https://www.portalinmobiliario.com/MLC-1569257976-edificio-lia-aguirre-_JM#position=19&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
19,Condominio Los Castaños de Alicura - Departamentos,UF,4081,39 a 59 m² útiles,1 a 2 dormitorios,1 a 2 baños,5 unidades disponibles,https://www.portalinmobiliario.com/MLC-1457836969-condominio-los-castanos-de-alicura-departamentos-_JM#position=20&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
20,Aqua La Serena,UF,4772,81 a 99 m² útiles,3 dormitorios,2 baños,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-1460624045-aqua-la-serena-_JM#position=21&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
21,CT11540,UF,10900,90 a 138 m² útiles,2 a 3 dormitorios,2 a 3 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-2204380968-ct11540-_JM#position=22&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
22,PV1210,UF,5000,38 a 94 m² útiles,1 a 3 dormitorios,1 a 2 baños,10 unidades disponibles,https://www.portalinmobiliario.com/MLC-1453728227-pv1210-_JM#position=23&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
23,Convet Edificio Vista Walker Martínez,UF,3800,47 a 75 m² útiles,2 a 3 dormitorios,2 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1599954568-convet-edificio-vista-walker-martinez-_JM#position=24&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
24,Sueña Santa Elisa,UF,2319,31 a 47 m² útiles,1 a 2 dormitorios,1 a 2 baños,4 unidades disponibles,https://www.portalinmobiliario.com/MLC-1893925418-suena-santa-elisa-_JM#position=25&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
25,Edificio Los Cipreses,UF,7052,90 a 130 m² útiles,3 dormitorios,2 a 3 baños,14 unidades disponibles,https://www.portalinmobiliario.com/MLC-539722302-edificio-los-cipreses-_JM#position=26&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
26,Edificio Camino La Fuente,UF,30500,274 a 377 m² útiles,4 dormitorios,5 baños,5 unidades disponibles,https://www.portalinmobiliario.com/MLC-521847353-edificio-camino-la-fuente-_JM#position=27&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
27,Edificio Cuvée,UF,7080,78 a 132 m² útiles,3 a 4 dormitorios,2 a 3 baños,30 unidades disponibles,https://www.portalinmobiliario.com/MLC-1379451237-edificio-cuvee-_JM#position=28&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
28,Siena Santa Cristina,UF,3133,33 a 155 m² útiles,1 a 4 dormitorios,1 a 4 baños,31 unidades disponibles,https://www.portalinmobiliario.com/MLC-1568339754-siena-santa-cristina-_JM#position=29&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
29,PH771,UF,4600,60 a 79 m² útiles,2 a 3 dormitorios,2 baños,8 unidades disponibles,https://www.portalinmobiliario.com/MLC-1591276164-ph771-_JM#position=30&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
30,Condominio Doña Sofía,UF,2556,54 a 65 m² útiles,3 dormitorios,1 a 2 baños,2 unidades disponibles,https://www.portalinmobiliario.com/MLC-1396762037-condominio-dona-sofia-_JM#position=31&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
31,Edificio Limit,UF,3089,32 a 57 m² útiles,1 a 2 dormitorios,1 a 2 baños,159 unidades disponibles,https://www.portalinmobiliario.com/MLC-1527682694-edificio-limit-_JM#position=32&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
32,Acción Maule,UF,2214,19 a 47 m² útiles,1 a 2 dormitorios,1 baño,34 unidades disponibles,https://www.portalinmobiliario.com/MLC-1524625508-accion-maule-_JM#position=33&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
33,Live Plus +,UF,2491,20 a 36 m² útiles,1 dormitorio,1 baño,64 unidades disponibles,https://www.portalinmobiliario.com/MLC-995776652-live-plus--_JM#position=34&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
34,Sueña Toesca,UF,2334,24 a 49 m² útiles,1 a 2 dormitorios,1 a 2 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1893851188-suena-toesca-_JM#position=35&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
35,Moller Edificios Nogales del Golf,UF,29890,239 a 306 m² útiles,4 dormitorios,5 a 6 baños,8 unidades disponibles,https://www.portalinmobiliario.com/MLC-2049705990-moller-edificios-nogales-del-golf-_JM#position=36&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
36,Panorama Cordillera Vespucio 4641 - 2da Etapa,UF,2747,30 a 61 m² útiles,1 a 2 dormitorios,1 a 2 baños,9 unidades disponibles,https://www.portalinmobiliario.com/MLC-1610726988-panorama-cordillera-vespucio-4641-2da-etapa-_JM#position=37&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
37,Edificio Argomedo,UF,2765,30 a 46 m² útiles,1 a 2 dormitorios,1 a 2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1419401261-edificio-argomedo-_JM#position=38&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
38,Macul Oriente,UF,3359,31 a 56 m² útiles,1 a 2 dormitorios,1 a 2 baños,75 unidades disponibles,https://www.portalinmobiliario.com/MLC-1441849375-macul-oriente-_JM#position=39&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
39,Acción Briones Luco,UF,2196,29 a 57 m² útiles,1 a 3 dormitorios,1 a 2 baños,108 unidades disponibles,https://www.portalinmobiliario.com/MLC-552526256-accion-briones-luco-_JM#position=40&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
40,Quinchamalí de Las Condes,UF,16950,145 a 185 m² útiles,2 a 4 dormitorios,3 a 4 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1626767660-quinchamali-de-las-condes-_JM#position=41&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
41,Edificio Ochagavía,UF,2810,32 a 57 m² útiles,1 a 2 dormitorios,1 a 2 baños,35 unidades disponibles,https://www.portalinmobiliario.com/MLC-2027177896-edificio-ochagavia-_JM#position=42&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
42,Gregorio de la Fuente,UF,3090,36 a 69 m² útiles,1 a 2 dormitorios,1 a 2 baños,36 unidades disponibles,https://www.portalinmobiliario.com/MLC-1560621054-gregorio-de-la-fuente-_JM#position=43&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
43,Parque Germania,UF,2831,29 a 85 m² útiles,1 a 3 dormitorios,1 a 3 baños,41 unidades disponibles,https://www.portalinmobiliario.com/MLC-2038471888-parque-germania-_JM#position=44&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
44,Absalón Aliwen,UF,3612,52 a 70 m² útiles,2 a 3 dormitorios,2 baños,41 unidades disponibles,https://www.portalinmobiliario.com/MLC-1248809629-absalon-aliwen-_JM#position=45&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
45,Absalon Maitén,UF,2860,34 a 55 m² útiles,1 a 2 dormitorios,1 a 2 baños,27 unidades disponibles,https://www.portalinmobiliario.com/MLC-540794901-absalon-maiten-_JM#position=46&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
46,Armonía,UF,1990,32 a 56 m² útiles,1 a 2 dormitorios,1 a 2 baños,28 unidades disponibles,https://www.portalinmobiliario.com/MLC-1399355921-armonia-_JM#position=47&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
47,Condominio Alto Miramar,UF,2100,31 a 48 m² útiles,1 a 2 dormitorios,1 baño,3 unidades disponibles,https://www.portalinmobiliario.com/MLC-1442602873-condominio-alto-miramar-_JM#position=48&search_layout=grid&type=item&tracking_id=6d2ff237-3a03-4d28-988b-da37cd3d6d77
0,Vista Park,UF,2590,32 a 72 m² útiles,1 a 3 dormitorios,1 a 2 baños,36 unidades disponibles,https://www.portalinmobiliario.com/MLC-1378476851-vista-park-_JM#position=1&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
1,Condominio Jorge Cáceres Etapa 2,UF,2234,31 a 52 m² útiles,1 a 3 dormitorios,1 baño,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-1569246326-condominio-jorge-caceres-etapa-2-_JM#position=2&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
2,Edificio Own,UF,3470,31 a 46 m² útiles,1 a 2 dormitorios,1 a 2 baños,25 unidades disponibles,https://www.portalinmobiliario.com/MLC-1403441101-edificio-own-_JM#position=3&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
3,Parque Vistasol,UF,2945,43 a 85 m² útiles,2 a 3 dormitorios,1 a 2 baños,9 unidades disponibles,https://www.portalinmobiliario.com/MLC-1376724335-parque-vistasol-_JM#position=4&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
4,Edificio Centro Osorno III,UF,1679,19 a 92 m² útiles,1 a 3 dormitorios,1 a 3 baños,10 unidades disponibles,https://www.portalinmobiliario.com/MLC-1441932147-edificio-centro-osorno-iii-_JM#position=5&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
5,Edificio Coronel Souper,UF,1990,32 a 52 m² útiles,1 a 2 dormitorios,1 a 2 baños,12 unidades disponibles,https://www.portalinmobiliario.com/MLC-1569144380-edificio-coronel-souper-_JM#position=6&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
6,Edificio Alto Laguna,UF,3793,55 a 72 m² útiles,2 a 3 dormitorios,2 baños,23 unidades disponibles,https://www.portalinmobiliario.com/MLC-1425735503-edificio-alto-laguna-_JM#position=7&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
7,Edificio Santo,UF,2290,24 a 48 m² útiles,1 a 2 dormitorios,1 a 2 baños,15 unidades disponibles,https://www.portalinmobiliario.com/MLC-1400972055-edificio-santo-_JM#position=8&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
8,Paseo Mirador San Carlos,UF,21900,163 a 203 m² útiles,3 dormitorios,3 a 4 baños,13 unidades disponibles,https://www.portalinmobiliario.com/MLC-1386880673-paseo-mirador-san-carlos-_JM#position=9&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
9,Edificio Ñuble,UF,2641,28 a 60 m² útiles,1 a 3 dormitorios,1 a 2 baños,8 unidades disponibles,https://www.portalinmobiliario.com/MLC-2135863830-edificio-nuble-_JM#position=10&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
10,Edificio Okinawa,UF,2561,28 a 31 m² útiles,1 dormitorio,1 baño,9 unidades disponibles,https://www.portalinmobiliario.com/MLC-2260253496-edificio-okinawa-_JM#position=11&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
11,Edificio The Place,UF,2997,22 a 50 m² útiles,1 a 2 dormitorios,1 a 2 baños,128 unidades disponibles,https://www.portalinmobiliario.com/MLC-995375758-edificio-the-place-_JM#position=12&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
12,Alameda 4719,UF,2202,32 a 48 m² útiles,1 a 2 dormitorios,1 a 2 baños,4 unidades disponibles,https://www.portalinmobiliario.com/MLC-1891388714-alameda-4719-_JM#position=13&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
13,Volcán Villarrica,UF,2178,46 a 57 m² útiles,1 a 2 privados,1 baño,22 unidades disponibles,https://www.portalinmobiliario.com/MLC-1457875183-volcan-villarrica-_JM#position=14&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
14,Magno,UF,9298,94 a 120 m² útiles,3 dormitorios,2 a 3 baños,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-1459211941-magno-_JM#position=15&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
15,Edificios Vista Linderos,UF,6570,112 m² útiles,3 dormitorios,2 baños,5 unidades disponibles,https://www.portalinmobiliario.com/MLC-502573021-edificios-vista-linderos-_JM#position=16&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
16,Tempo Carrera,UF,2427,35 a 67 m² útiles,1 a 3 dormitorios,1 a 2 baños,55 unidades disponibles,https://www.portalinmobiliario.com/MLC-1418388249-tempo-carrera-_JM#position=17&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
17,Edificio Viento Sur,UF,2264,30 a 42 m² útiles,1 a 2 dormitorios,1 baño,3 unidades disponibles,https://www.portalinmobiliario.com/MLC-1416044165-edificio-viento-sur-_JM#position=18&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
18,Jardines de Mapocho,UF,2475,29 a 32 m² útiles,1 dormitorio,1 baño,50 unidades disponibles,https://www.portalinmobiliario.com/MLC-1532153396-jardines-de-mapocho-_JM#position=19&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
19,Libertad 51,UF,2603,26 a 63 m² útiles,1 a 3 dormitorios,1 a 2 baños,36 unidades disponibles,https://www.portalinmobiliario.com/MLC-1458834351-libertad-51-_JM#position=20&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
20,Angamos,UF,2694,24 a 63 m² útiles,1 a 3 dormitorios,1 a 2 baños,18 unidades disponibles,https://www.portalinmobiliario.com/MLC-1610751386-angamos-_JM#position=21&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
21,Mirador Casona,UF,2540,25 a 75 m² útiles,2 dormitorios,1 a 2 baños,145 unidades disponibles,https://www.portalinmobiliario.com/MLC-1379784875-mirador-casona-_JM#position=22&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
22,Distrito San Joaquín,UF,3390,35 a 84 m² útiles,1 a 3 dormitorios,1 a 2 baños,74 unidades disponibles,https://www.portalinmobiliario.com/MLC-2211777088-distrito-san-joaquin-_JM#position=23&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
23,Condominio Mirador Activa,UF,2773,33 a 59 m² útiles,1 a 2 dormitorios,1 a 2 baños,26 unidades disponibles,https://www.portalinmobiliario.com/MLC-2216319502-condominio-mirador-activa-_JM#position=24&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
24,Edificio Vista Parque,UF,2380,31 a 75 m² útiles,1 a 3 dormitorios,1 a 2 baños,77 unidades disponibles,https://www.portalinmobiliario.com/MLC-1576966128-edificio-vista-parque-_JM#position=25&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
25,Edificio Rosas 1444,UF,3070,34 a 58 m² útiles,1 a 2 dormitorios,1 a 2 baños,5 unidades disponibles,https://www.portalinmobiliario.com/MLC-975135501-edificio-rosas-1444-_JM#position=26&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
26,Urban La Florida,UF,2492,32 a 58 m² útiles,1 a 2 dormitorios,1 a 2 baños,28 unidades disponibles,https://www.portalinmobiliario.com/MLC-1377839103-urban-la-florida-_JM#position=27&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
27,Condominio Nueva Villarrica,UF,4357,46 a 58 m² útiles,2 dormitorios,1 a 2 baños,2 unidades disponibles,https://www.portalinmobiliario.com/MLC-519443980-condominio-nueva-villarrica-_JM#position=28&search_layout=grid&type=item&tracking_id=c262d766-f513-445a-9d7d-965ad2f38523
