,nombre_proyecto,moneda,precio,tamaño,dormitorios,baños,unidades_disp,link
1,Condominio Pie Andino,UF,2250,34 a 52 m² útiles,1 a 2 dormitorios,1 a 2 baños,3 unidades disponibles,https://www.portalinmobiliario.com/MLC-1610695770-condominio-pie-andino-_JM#position=2&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
2,Condominio El Descanso III,UF,2678,44 a 51 m² útiles,2 dormitorios,1 a 2 baños,23 unidades disponibles,https://www.portalinmobiliario.com/MLC-1385378611-condominio-el-descanso-iii-_JM#position=3&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
3,Edificio Lynch,UF,2060,31 a 51 m² útiles,1 a 2 dormitorios,1 a 2 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1569257014-edificio-lynch-_JM#position=4&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
4,NS440,UF,7990,61 a 98 m² útiles,2 a 3 dormitorios,2 a 3 baños,54 unidades disponibles,https://www.portalinmobiliario.com/MLC-1399822263-ns440-_JM#position=5&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
5,Condominio Arboleda,UF,1300,46 a 57 m² útiles,2 a 3 dormitorios,1 baño,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-2109156652-condominio-arboleda-_JM#position=6&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
6,Barlovento,UF,6976,58 a 79 m² útiles,2 a 3 dormitorios,2 baños,28 unidades disponibles,https://www.portalinmobiliario.com/MLC-1610716126-barlovento-_JM#position=7&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
7,Mind,UF,3032,27 a 65 m² útiles,1 a 2 dormitorios,1 a 2 baños,222 unidades disponibles,https://www.portalinmobiliario.com/MLC-1845800942-mind-_JM#position=8&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
8,Dalí Península,UF,7431,86 a 136 m² útiles,2 a 4 dormitorios,2 a 4 baños,4 unidades disponibles,https://www.portalinmobiliario.com/MLC-1565712196-dali-peninsula-_JM#position=9&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
9,Blanca Estela I Torre A,UF,5540,85 a 106 m² útiles,3 dormitorios,2 baños,4 unidades disponibles,https://www.portalinmobiliario.com/MLC-1569232860-blanca-estela-i-torre-a-_JM#position=10&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
10,Mirador Azul,UF,2973,33 a 65 m² útiles,1 a 3 dormitorios,1 a 2 baños,22 unidades disponibles,https://www.portalinmobiliario.com/MLC-2099417324-mirador-azul-_JM#position=11&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
